Time_Sec,CPU_Percent_Total,Memory_GB
1.0,58.33,1.0168
2.0,64.02,1.2554
3.0,73.4,1.5253
4.01,68.07,1.7594
5.01,83.63,1.852
6.01,87.05,1.9743
7.01,79.13,2.1502
8.01,80.69,2.2851
9.01,84.67,2.4228
10.01,79.55,2.6755
11.01,80.26,2.9037
12.02,93.17,3.0372
13.02,83.14,3.1801
14.02,78.97,3.5732
15.02,81.24,3.9923
16.02,79.34,4.3911
17.02,78.23,4.8134
18.02,76.36,5.2151
19.03,76.45,5.6488
20.03,75.65,6.1741
21.03,79.2,6.5808
22.03,76.01,6.9399
23.03,65.69,2.5688
24.03,87.38,2.9046
25.03,92.85,3.1388
26.04,79.35,3.5329
27.04,81.88,3.8738
28.04,78.85,4.171
29.04,78.48,4.6781
30.04,77.35,5.1146
31.04,76.78,5.5588
32.04,76.61,6.1046
33.05,80.18,6.5264
34.05,77.09,6.8989
35.05,59.86,2.5573
36.05,85.4,2.7875
37.05,69.26,2.6694
38.05,74.85,2.8038
39.05,79.01,2.6101
40.06,84.03,2.9156
41.06,87.14,3.0896
42.06,81.65,3.2791
43.06,59.39,2.542
44.06,78.97,2.7144
45.06,87.62,2.892
46.06,67.4,2.5536
47.06,78.88,2.7232
48.07,88.6,2.9548
49.07,80.65,3.1334
50.07,73.57,2.7319
51.07,86.64,2.4855
52.07,69.14,2.7699
53.07,81.54,2.8872
54.07,76.22,2.7654
55.07,87.05,2.6441
56.08,75.4,2.8628
57.08,74.9,2.709
58.08,76.99,2.9099
59.08,82.99,2.6822
60.08,82.98,2.9034
61.08,92.26,3.113
62.08,83.31,3.3525
63.09,69.74,3.6757
64.09,64.48,2.7937
65.09,90.68,3.0076
66.09,79.35,2.6859
67.09,73.01,2.8652
68.09,86.65,2.9974
69.09,86.16,3.345
70.09,61.69,2.7488
71.1,80.89,2.9077
72.1,91.27,3.0988
73.1,83.59,3.333
74.1,63.89,2.7703
75.1,82.54,2.9225
76.1,76.21,2.6882
77.1,71.96,2.8636
78.11,88.05,3.022
79.11,68.51,2.7803
80.11,92.34,3.0103
81.11,71.41,2.7987
82.11,78.81,3.0388
83.11,94.18,3.1785
84.11,84.57,3.3746
85.12,78.74,3.8561
86.12,71.25,4.2973
87.12,62.8,2.7861
88.12,78.31,3.0229
89.12,91.02,3.1915
90.12,79.51,3.617
91.12,70.53,4.1228
92.13,75.34,4.6672
93.13,77.81,5.1089
94.13,60.64,2.8017
95.13,86.95,3.1406
96.13,88.79,3.3045
97.13,86.49,3.5039
98.13,81.19,3.7301
99.13,77.99,2.6182
100.14,70.14,2.8834
101.14,77.37,2.9979
102.14,81.77,3.2615
103.14,69.1,2.7323
104.14,87.04,2.9436
105.14,82.39,2.6874
106.14,76.29,2.9031
107.15,90.0,3.0235
108.15,69.2,2.7434
109.15,77.54,2.905
110.15,69.33,2.7162
111.15,83.91,2.9006
112.15,72.3,2.7161
113.15,78.67,2.8859
114.15,76.03,2.7094
115.15,79.31,2.888
116.16,92.66,2.9091
117.16,70.43,2.8633
118.16,80.09,2.961
119.16,67.81,2.8287
120.16,82.07,3.1273
121.16,67.96,3.5086
122.16,62.84,3.8858
123.16,56.82,4.2178
124.17,92.43,4.4368
125.17,83.91,4.569
126.17,73.42,4.7384
127.17,78.65,4.9273
128.17,56.4,5.0896
129.17,75.88,5.2809
130.17,75.51,5.494
131.17,68.29,5.7765
132.18,71.4,6.297
133.18,69.29,6.7232
134.18,75.6,6.9567
135.18,78.63,7.1912
136.18,76.2,7.4268
137.18,83.19,7.9335
138.18,76.9,8.1704
139.19,58.83,8.1686
140.19,72.46,8.1692
141.19,53.61,8.1725
142.19,54.86,8.1725
143.19,75.17,8.2726
144.19,51.03,8.2672
145.19,38.03,8.2672
146.2,56.27,8.2672
147.2,34.94,8.2674
148.2,36.21,8.2674
149.2,34.03,8.2674
150.2,25.4,8.2674
151.2,30.0,8.2674
152.21,31.54,8.2674
153.21,58.44,8.8383
154.21,33.29,8.8864
155.21,44.41,8.8865
156.21,38.35,8.8865
157.21,35.36,8.8865
158.21,27.04,8.8865
159.22,25.2,8.8865
160.22,31.05,8.8865
161.22,40.31,8.8865
162.22,32.98,8.8865
163.22,26.68,8.8865
164.22,25.94,8.8865
165.23,25.41,8.8865
166.23,26.9,8.8865
167.23,26.29,8.8865
168.23,28.1,8.8865
169.23,26.45,8.8865
170.23,49.19,9.0089
171.23,49.51,9.0886
172.24,68.35,9.0891
173.24,60.73,9.0932
174.24,43.29,9.0933
175.24,65.52,9.0989
176.24,66.82,9.1634
177.24,34.36,9.1605
178.24,27.42,9.1605
179.25,25.31,9.1514
180.25,26.29,9.1514
181.25,28.23,9.1514
182.25,25.42,9.1514
183.25,26.15,9.1514
184.25,25.37,9.1514
185.26,25.15,9.1514
186.26,25.31,9.1514
187.26,25.27,9.1514
188.26,25.19,9.1514
189.26,25.32,9.1514
190.26,25.2,9.1514
191.27,25.31,9.1514
192.27,25.39,9.1514
193.27,25.21,9.1514
194.27,25.85,9.1514
195.27,25.2,9.1514
196.27,25.3,9.1514
197.27,25.23,9.1514
198.28,25.23,9.1514
199.28,25.31,9.1514
200.28,25.33,9.1514
201.28,25.27,9.1514
202.28,25.31,9.1514
203.28,25.18,9.1514
204.29,25.23,9.1514
205.29,25.13,9.1514
206.29,25.26,9.1514
207.29,25.29,9.1514
208.29,25.17,9.1514
209.29,25.29,9.1514
210.3,25.19,9.1514
211.3,25.31,9.1514
212.3,25.33,9.1514
213.3,25.18,9.1514
214.3,25.28,9.1514
215.3,25.18,9.1514
216.3,25.23,9.1514
217.31,25.35,9.1514
218.31,25.19,9.1514
219.31,25.27,9.1514
220.31,25.18,9.1514
221.31,25.19,9.1514
222.31,25.35,9.1514
223.31,25.26,9.1514
224.32,25.19,9.1514
225.32,25.51,9.1514
226.32,25.18,9.1514
227.32,25.19,9.1514
228.32,25.28,9.1514
229.32,25.19,9.1514
230.32,25.21,9.1514
231.33,25.3,9.1514
232.33,25.28,9.1514
233.33,25.19,9.1514
234.33,25.85,9.1514
235.33,33.25,9.1514
236.33,25.21,9.1514
237.33,25.3,9.1514
238.34,25.49,9.1514
239.34,25.24,9.1514
240.34,25.13,9.1514
241.34,25.43,9.1514
242.34,25.34,9.1514
243.34,25.13,9.1514
244.35,25.24,9.1514
245.35,25.13,9.1514
246.35,25.15,9.1514
247.35,25.26,9.1514
248.35,25.18,9.1513
249.35,25.28,9.1513
250.35,25.18,9.1513
251.36,25.19,9.1513
252.36,25.37,9.1513
253.36,25.18,9.1513
254.36,25.28,9.1513
255.36,25.31,9.1516
256.36,25.21,9.1516
257.37,25.36,9.1517
258.37,25.35,9.1517
259.37,25.18,9.1517
260.37,25.25,9.1517
261.37,25.33,9.1517
262.37,25.25,9.1517
263.37,25.29,9.1517
264.38,25.19,9.1517
265.38,25.18,9.1517
266.38,25.33,9.1517
267.38,25.18,9.1517
268.38,25.29,9.1517
269.38,25.25,9.1517
270.38,25.19,9.1517
271.39,25.31,9.1517
272.39,25.27,9.1517
273.39,25.29,9.1517
274.39,25.18,9.1517
275.39,25.18,9.1517
276.39,25.3,9.1517
277.4,25.23,9.1517
278.4,25.26,9.1517
279.4,25.3,9.1517
280.4,25.19,9.1517
281.4,25.31,9.1517
282.4,25.25,9.1517
283.4,25.19,9.1517
284.41,25.3,9.1517
285.41,25.19,9.1517
286.41,25.31,9.1517
287.41,25.19,9.1517
288.41,25.13,9.1517
289.41,25.29,9.1517
290.41,25.19,9.1517
291.42,25.2,9.1517
292.42,25.28,9.1517
293.42,25.23,9.1517
294.42,25.17,9.1517
295.42,25.29,9.1517
296.42,25.38,9.1517
297.42,25.19,9.1517
298.43,25.32,9.1517
299.43,25.29,9.1517
300.43,25.2,9.1517
301.43,25.31,9.1517
302.43,25.42,9.1517
303.43,25.2,9.1517
304.43,25.3,9.1517
305.44,25.19,9.1517
306.44,25.32,9.1517
307.44,25.24,9.1517
308.44,25.23,9.1517
309.44,25.25,9.1517
310.44,25.12,9.1517
311.45,25.24,9.1517
312.45,25.31,9.1517
313.45,25.2,9.1517
314.45,25.3,9.1517
315.45,25.14,9.1517
316.45,25.18,9.1517
317.45,25.27,9.1517
318.46,25.14,9.1517
319.46,25.26,9.1517
320.46,25.13,9.1516
321.46,25.14,9.1516
322.46,40.09,9.1518
323.46,34.6,9.1518
324.47,25.33,9.1518
325.47,25.19,9.1518
326.47,31.68,9.1518
327.47,26.05,9.1518
328.47,33.49,9.1518
329.47,25.33,9.1518
330.47,25.15,9.1518
331.48,25.42,9.1518
332.48,33.94,9.1518
333.48,26.36,9.1523
334.48,44.1,9.1523
335.48,27.23,9.1523
336.48,25.74,9.1523
