Time_Sec,CPU_Percent_Total,Memory_GB
1.0,53.24,0.3344
2.0,63.36,0.5392
3.0,54.98,0.6969
4.01,79.05,0.9354
5.01,63.05,1.0125
6.01,77.65,1.1579
7.01,84.04,1.2783
8.01,85.66,1.3533
9.01,82.55,1.4775
10.02,74.82,1.5587
11.02,77.07,1.5869
12.02,72.47,1.7442
13.02,79.99,1.9315
14.02,84.34,2.1886
15.02,74.6,2.3009
16.02,87.91,2.4641
17.02,81.33,2.6827
18.03,78.55,2.9147
19.03,76.95,3.1973
20.03,75.75,3.5011
21.03,76.26,3.7971
22.03,75.76,4.1452
23.03,77.4,4.4786
24.03,76.07,4.8843
25.04,75.92,5.3074
26.04,75.7,5.6923
27.04,75.71,6.0558
28.04,55.2,1.911
29.04,82.17,2.1641
30.04,81.06,2.3146
31.04,85.37,2.5357
32.05,78.63,2.7756
33.05,76.36,3.0853
34.05,76.17,3.3983
35.05,75.92,3.7184
36.05,77.52,4.0646
37.05,77.36,4.3939
38.06,77.44,4.7296
39.06,76.22,5.1596
40.06,75.69,5.5388
41.06,75.82,5.9129
42.06,68.45,3.5873
43.06,69.41,2.0782
44.06,82.99,1.8165
45.07,75.68,2.1277
46.07,90.28,2.2771
47.07,84.86,2.578
48.07,78.67,2.8737
49.07,77.64,3.1564
50.07,77.46,3.4781
51.07,66.44,3.7122
52.08,32.15,3.9644
53.08,30.2,4.1686
54.08,26.15,4.2547
55.08,25.43,4.286
56.08,26.76,4.3294
57.08,26.03,4.3714
58.09,25.94,4.444
59.09,42.2,4.6544
60.09,27.84,4.9202
61.09,25.56,4.9709
62.09,25.12,4.9963
63.09,26.46,5.0267
64.09,26.01,5.0554
65.1,25.15,5.0847
66.1,25.31,5.1127
67.1,25.19,5.1414
68.1,25.74,5.1643
69.1,25.76,5.1988
70.1,25.2,5.2202
71.11,25.28,5.2301
72.11,25.14,5.2508
73.11,25.33,5.269
74.11,25.14,5.2904
75.11,25.14,5.3117
76.11,25.24,5.3302
77.12,25.14,5.3532
