Time_Sec,CPU_Percent_Total,Memory_GB
1.0,210.36,0.1859
2.0,242.49,0.3783
3.0,231.51,0.5267
4.01,290.76,0.7313
5.01,271.26,0.8029
6.01,268.59,0.9126
7.01,314.54,0.9491
8.01,331.64,0.9661
9.01,342.44,1.0046
10.01,321.57,1.1543
11.02,287.41,1.2095
12.02,244.71,1.3256
13.02,320.69,1.4372
14.02,314.08,1.6092
15.02,324.5,1.7615
16.02,362.63,1.9822
17.02,341.81,2.1648
18.03,257.33,1.5726
19.03,333.85,1.7829
20.03,312.39,2.0986
21.03,351.04,2.2271
22.03,340.28,2.4999
23.03,323.35,2.8029
24.03,313.06,3.0631
25.04,309.72,3.2829
26.04,306.29,3.4626
27.04,304.88,3.6697
28.04,310.34,3.908
29.04,303.04,4.0466
30.04,305.87,4.2141
31.04,304.23,4.3599
32.05,305.62,4.4805
33.05,303.05,4.6033
34.05,245.23,4.825
35.05,160.2,4.9492
36.05,158.14,5.0487
37.05,106.26,5.125
38.05,136.09,5.2276
39.06,124.71,5.3799
40.06,104.11,5.4645
41.06,114.28,5.5369
42.06,177.59,5.6403
43.06,177.8,5.7931
44.06,109.72,5.9126
45.07,161.67,6.0371
46.07,103.47,6.0878
47.07,106.81,6.1624
48.07,105.2,6.2524
49.07,102.06,6.3107
50.07,128.72,6.38
51.08,168.31,6.4488
52.08,230.35,6.7098
53.08,133.64,6.7619
54.08,111.29,6.7619
55.08,177.62,6.7619
56.08,114.13,6.7619
57.08,106.15,6.7618
58.09,101.44,6.7618
59.09,101.06,6.7618
60.09,108.6,6.7618
61.09,115.03,6.8023
62.09,101.8,6.8618
63.09,105.65,6.862
64.1,165.0,6.862
65.1,101.44,6.8621
66.1,116.92,6.862
67.1,104.52,6.862
68.1,124.4,6.862
69.1,108.77,6.8619
70.1,114.2,6.8617
71.11,101.39,6.8618
72.11,106.72,6.8618
73.11,122.28,6.8618
74.11,102.23,6.8618
75.11,103.43,6.8618
76.11,100.79,6.8618
77.12,156.16,6.8617
78.12,102.54,6.8617
79.12,156.47,6.8619
80.12,117.32,6.8618
81.12,101.79,6.8619
82.12,101.65,6.8619
83.12,101.47,6.8619
84.13,107.35,6.8619
85.13,109.05,6.862
86.13,143.75,6.862
87.13,136.5,6.8619
88.13,282.2,6.8621
89.13,207.64,6.862
90.14,177.85,6.8622
91.14,143.59,6.8623
92.14,167.52,7.1768
93.14,103.54,7.1768
94.14,105.14,7.1768
95.14,101.89,7.1768
96.14,101.74,7.1767
97.15,103.18,7.1767
98.15,100.69,7.1767
99.15,119.96,7.1767
100.15,104.56,7.1767
101.15,151.8,7.1907
102.15,119.3,7.1907
103.15,103.38,7.1908
104.16,100.67,7.1908
105.16,101.27,7.1908
106.16,100.89,7.1908
107.16,103.29,7.1907
108.16,100.66,7.1907
109.16,159.71,7.1916
110.16,100.93,7.1915
111.17,101.03,7.1914
112.17,100.61,7.1914
113.17,101.24,7.1914
114.17,100.66,7.1914
115.17,100.55,7.1914
116.17,101.11,7.1914
117.17,144.43,7.1936
118.17,107.7,7.1936
119.18,101.37,7.1936
120.18,100.89,7.1936
121.18,100.92,7.1935
122.18,100.97,7.1936
123.18,101.09,7.1936
124.18,101.02,7.1936
125.18,152.97,7.4239
126.19,113.33,7.4566
127.19,100.84,7.4565
128.19,101.28,7.4565
129.19,100.91,7.4565
130.19,100.88,7.4565
131.19,101.43,7.4565
132.19,100.92,7.4565
133.19,102.44,7.4566
134.2,101.28,7.5158
135.2,100.85,7.9979
136.2,212.56,8.3216
137.2,101.28,8.3215
138.2,100.78,8.3215
139.2,101.12,8.3215
140.2,100.97,8.3214
141.21,101.38,8.3214
142.21,101.42,8.3214
143.21,101.03,8.3215
144.21,100.97,8.3217
145.21,101.28,8.3215
146.21,101.41,8.3217
147.22,100.89,8.3217
148.22,101.27,8.3216
149.22,102.24,8.3217
150.22,101.34,8.3216
151.22,100.85,8.3216
152.22,104.07,8.3216
153.22,101.41,8.3216
154.23,101.09,8.3216
155.23,100.95,8.3216
156.23,101.47,8.3217
157.23,100.91,8.3217
158.23,100.74,8.3217
159.23,101.33,8.3218
160.23,100.85,8.3218
161.24,101.3,8.3217
162.24,100.84,8.3217
163.24,100.93,8.3217
164.24,118.26,8.322
165.24,100.9,8.322
166.24,100.78,8.3218
167.24,101.23,8.3218
168.25,100.87,8.3218
169.25,101.06,8.3218
170.25,101.62,8.3218
171.25,101.05,8.3218
172.25,100.78,8.3219
173.25,109.59,8.3219
174.25,127.56,8.3219
175.26,107.4,8.3218
176.26,100.71,8.3218
177.26,100.7,8.3218
178.26,101.31,8.3218
179.26,101.51,8.3219
180.26,100.71,8.3218
181.26,101.15,8.3218
182.27,100.72,8.3218
183.27,101.72,8.3219
184.27,101.25,8.3218
185.27,101.01,8.3218
186.27,101.17,8.3218
187.27,100.52,8.3218
188.27,100.69,8.3218
189.28,101.04,8.3218
190.28,100.75,8.3219
191.28,100.92,8.3219
192.28,100.93,8.3219
193.28,100.75,8.3217
194.28,113.19,8.3218
195.28,101.11,8.3218
196.29,100.72,8.3217
197.29,101.14,8.3217
198.29,100.71,8.3217
199.29,100.9,8.3219
200.29,100.96,8.3218
201.29,100.61,8.3218
202.3,101.04,8.3218
203.3,101.53,8.3218
204.3,100.85,8.3218
205.3,100.74,8.3218
206.3,101.21,8.3217
207.3,100.72,8.3217
208.3,101.69,8.3227
209.3,101.66,8.3227
210.31,100.76,8.3227
211.31,100.75,8.3226
212.31,100.67,8.3226
213.31,115.18,8.3225
214.31,100.93,8.3227
215.32,101.1,8.3227
216.32,100.72,8.3227
217.32,100.71,8.3227
218.32,101.27,8.3227
